Y,X1,X2,X3
387,149694,315,9
947,896734,970,11
488,238069,544,13
654,427641,621,10
688,473269,632,9
989,978046,918,7
396,156741,351,5
736,541621,793,6
659,434206,637,9
587,344494,524,16
283,80014,240,10
455,206950,387,3
408,166389,482,6
650,422425,581,-2
308,94789,309,-2
826,682201,869,4
245,59950,284,-4
771,594366,698,10
441,194406,450,1
867,751614,862,4
412,169669,439,2
399,159126,381,9
488,238069,494,11
242,58489,282,0
685,469150,713,13
846,715641,831,7
414,171321,474,1
781,609886,739,6
371,137566,331,13
589,346846,615,14
721,519766,685,3
613,375694,670,11
486,236121,513,9
970,940825,917,3
461,212446,486,10
734,538681,776,10
224,50101,284,14
407,165574,347,10
812,659269,785,12
693,480174,733,13
491,241006,420,-2
307,94174,364,11
700,489925,685,1
832,692149,894,13
949,900526,880,1
699,488526,631,-1
207,42774,260,3
248,61429,232,10
301,90526,345,-4
221,48766,227,12
939,881646,969,7
771,594366,817,-1
845,713950,822,6
643,413374,717,-1
375,140550,440,11
314,98521,356,-1
896,802741,956,-2
447,199734,477,2
919,844486,910,6
397,157534,407,2
875,765550,931,11
272,73909,230,14
708,501189,640,12
502,251929,503,15
685,469150,623,-2
432,186549,425,12
274,75001,234,7
246,60441,267,2
942,887289,937,16
619,383086,685,0
797,635134,744,-2
480,230325,487,15
917,840814,866,2
972,944709,1017,15
790,624025,821,14
916,838981,917,7
874,763801,801,14
923,851854,953,6
493,242974,538,1
864,746421,843,-2
572,327109,542,2
383,146614,393,7
715,511150,716,-2
984,968181,994,13
729,531366,795,-3
541,292606,470,12
812,659269,809,5
903,815334,878,8
763,582094,703,8
502,251929,515,11
636,404421,601,3
308,94789,347,-3
219,47886,266,5
616,379381,566,6
784,614581,740,-3
650,422425,631,3
378,142809,394,15
971,942766,984,-1
322,103609,309,-4
577,332854,543,14
767,588214,792,-2
823,677254,799,1
522,272409,508,6
874,763801,947,16
582,338649,598,3
456,207861,459,13
297,88134,358,10
295,86950,334,-2
538,289369,524,-3
522,272409,533,15
420,176325,449,-1
224,50101,156,3
511,261046,458,14
747,557934,781,5
561,314646,520,-2
474,224601,518,14
737,543094,694,5
919,844486,952,-1
349,121726,418,14
254,64441,227,13
422,178009,468,3
953,908134,965,10
345,118950,347,15
211,44446,175,1
558,311289,574,14
572,327109,639,2
661,436846,645,9
422,178009,373,1
322,103609,393,1
403,162334,340,0
983,966214,944,6
512,262069,438,-3
980,960325,984,10
585,342150,535,13
897,804534,970,1
979,958366,1006,4
674,454201,634,10
588,345669,545,8
646,417241,593,1
376,141301,440,6
473,223654,481,11
743,551974,807,10
853,727534,856,-3
854,729241,866,3
213,45294,254,-2
492,241989,479,11
296,87541,242,9
514,264121,579,12
598,357529,537,-2
831,690486,839,15
981,962286,1025,14
653,426334,614,4
827,683854,769,15
517,267214,442,7
807,651174,830,8
902,813529,847,2
216,46581,291,3
428,183109,471,9
464,215221,464,4
740,547525,676,2
808,652789,882,11
867,751614,883,1
417,173814,389,-3
237,56094,181,3
627,393054,581,4
951,904326,973,2
674,454201,659,8
778,605209,810,7
975,950550,1025,12
945,892950,973,10
288,82869,324,-2
829,687166,819,-2
454,206041,401,10
380,144325,373,11
279,77766,351,-3
455,206950,429,4
754,568441,827,6
614,376921,611,4
686,470521,704,2
804,646341,745,10
529,279766,528,9
790,624025,850,7
988,976069,927,6
337,113494,409,-4
824,678901,829,3
478,228409,486,1
897,804534,921,16
592,350389,535,1
531,281886,575,2
557,310174,589,7
667,444814,692,4
751,563926,750,6
587,344494,598,6
978,956409,971,16
345,118950,411,8
923,851854,930,6
752,565429,803,8
933,870414,964,1
451,203326,410,-2
309,95406,298,3
589,346846,639,10
425,180550,386,1
871,758566,933,1
495,244950,501,-2
902,813529,901,11
964,929221,909,13
837,700494,872,8
672,451509,669,12
739,546046,750,14
667,444814,707,9
895,800950,835,4
950,902425,1013,0
681,463686,627,3
980,960325,930,3
988,976069,947,4
627,393054,601,0
495,244950,528,3
601,361126,626,5
507,256974,582,12
689,474646,729,16
205,41950,139,3
652,425029,609,1
909,826206,855,0
231,53286,195,10
440,193525,392,-3
321,102966,273,4
968,936949,945,3
925,855550,876,10
890,792025,871,12
816,665781,886,2
406,164761,397,15
691,477406,620,10
658,432889,733,0
813,660894,772,14
901,811726,967,7
585,342150,528,11
505,254950,508,16
945,892950,980,13
981,962286,1048,4
629,395566,675,2
623,388054,687,6
933,870414,928,6
672,451509,675,10
219,47886,289,10
597,356334,526,10
855,730950,881,-2
342,116889,272,10
797,635134,782,12
805,647950,747,4
341,116206,400,1
418,174649,450,8
379,143566,336,14
776,602101,738,10
764,583621,790,2
868,753349,830,14
895,800950,927,3
757,572974,732,16
252,63429,296,1
449,201526,478,0
783,613014,764,6
806,649561,858,12
806,649561,743,0
399,159126,413,7
644,414661,582,-3
635,403150,688,-2
930,864825,1002,1
469,219886,506,11
826,682201,807,7
982,964249,1039,-3
356,126661,337,14
617,380614,554,6
764,583621,728,-3
663,439494,693,6
625,390550,677,-1
323,104254,272,12
672,451509,733,3
319,101686,312,11
755,569950,825,7
531,281886,534,15
492,241989,536,7
919,844486,966,11
278,77209,258,10
812,659269,840,16
379,143566,423,-2
779,606766,843,8
755,569950,722,2
854,729241,913,11
385,148150,406,15
451,203326,391,3
251,62926,290,-3
742,550489,691,5
215,46150,148,2
777,603654,713,8
305,92950,273,3
576,331701,568,-1
264,69621,251,-2
873,762054,831,-2
661,436846,671,-2
331,109486,260,10
410,168025,468,-1
983,966214,1049,6
485,235150,487,6
896,802741,850,2
348,121029,298,13
273,74454,204,5
297,88134,262,1
990,980025,1025,14
217,47014,250,3
421,177166,443,15
826,682201,768,2
839,703846,823,3
336,112821,371,5
660,435525,654,10
988,976069,1007,9
305,92950,280,11
371,137566,419,4
714,509721,769,14
467,218014,398,14
472,222709,449,3
604,364741,583,4
973,946654,925,1
209,43606,282,3
